# # You can open and plot this file using Python
# # (without manually removing this header, it will be skipped), see example below.
# import numpy as np
# from matplotlib import pyplot as plt
# data = np.genfromtxt('scattnlay-spectra.txt', skip_header=21, names=True, delimiter=', ')
# x = data[data.dtype.names[0]] # x-axis has units
# # Possible labels for spectrum data: Qsca, Qabs, Qext,
# # Qsca_E_dipole, etc. (see last comment before spectra data)
# a = data['Qsca']
# b = data['Qsca_E_dipole']
# c = data['Qsca_H_dipole']
# 
# plt.figure()
# plt.plot(x, a, label='Qsca')
# plt.plot(x, b, label='Qsca E dipole')
# plt.plot(x, c, label='Qsca H dipole')
# plt.legend()
# plt.xlabel(data.dtype.names[0].replace('_', ', '))
# plt.ylabel('Normalized cross-sections')
# plt.show()

# Wavelength [nm], Qsca, Qabs, Qext, Qsca_E_dipole, Qabs_E_dipole, Qext_E_dipole, Qsca_H_dipole, Qabs_H_dipole, Qext_H_dipole, Qsca_E_quadrupole, Qabs_E_quadrupole, Qext_E_quadrupole, Qsca_H_quadrupole, Qabs_H_quadrupole, Qext_H_quadrupole, Qsca_E_octupole, Qabs_E_octupole, Qext_E_octupole, Qsca_H_octupole, Qabs_H_octupole, Qext_H_octupole, Qsca_E_16, Qabs_E_16, Qext_E_16, Qsca_H_16, Qabs_H_16, Qext_H_16
420, 1.1513392140239471, 1.9114944907486597, 3.062833704772607, 1.1098737712450535, 1.3459224416872906, 2.455796212932344, 0.023261813962760756, 0.23244259354468902, 0.25570440750744977, 0.018122804742400758, 0.30323625475856897, 0.3213590595009697, 0.00006169260246753745, 0.018902099355415196, 0.018963791957882732, 0.000019094609008212143, 0.010257453860781342, 0.010276548469789554, 3.034584890380443e-8, 0.0005215558725449838, 0.0005215862183938876, 6.5103505346901964e-9, 0.00020158644412349505, 0.00020159295447402974, 5.147085628798718e-12, 0.000007859234702125018, 0.000007859239849210646
421.65, 1.1470206625906465, 1.9157563576255934, 3.06277702021624, 1.1066521102941675, 1.3551875156893898, 2.4618396259835573, 0.022672586028360826, 0.2308566870546299, 0.2535292730829907, 0.017618760824655626, 0.30037372908424054, 0.31799248990889617, 0.00005889803908468422, 0.018540144866055493, 0.018599042905140178, 0.000018272784903035312, 0.01008447877922643, 0.010102751564129465, 2.8479760892247126e-8, 0.0005069528705412064, 0.0005069813503020986, 6.1341172901412246e-9, 0.00019671227657041987, 0.00019671841068771002, 4.752576296500645e-12, 0.000007576014543678728, 0.000007576019296255024
423.3, 1.1425971217755588, 1.920039570202583, 3.062636691978142, 1.1032984813701519, 1.3644206801429588, 2.4677191615131107, 0.022093519869003705, 0.22923588099963915, 0.25132940086864286, 0.017131373870375045, 0.29758906158440834, 0.3147204354547834, 0.000056223118648615774, 0.018182538177433396, 0.018238761296082012, 0.00001749103339838594, 0.009916905354042884, 0.00993439638744127, 2.672725737781931e-8, 0.0004927118254876238, 0.0004927385527450016, 5.781552305625944e-9, 0.00019201006083917, 0.0001920158423914756, 4.38841437628503e-12, 0.000007302572013012611, 0.000007302576401426987
424.95, 1.1380626194726837, 1.9243406611062357, 3.0624032805789194, 1.0998077555809604, 1.3736194568033808, 2.4734272123843413, 0.02152447726614564, 0.22758100036447035, 0.249105477630616, 0.016659946308394572, 0.2948806396507866, 0.31154058595918116, 0.00005366264488241462, 0.01782926445681574, 0.017882927101698153, 0.000016747135215760813, 0.009754562963627658, 0.00977131009884342, 2.5081268386180394e-8, 0.00047882379735522955, 0.00047884887862361574, 5.4510373314575875e-9, 0.00018747319219811982, 0.00018747864323545127, 4.052216141787215e-12, 0.000007038559539766895, 0.000007038563591983036
426.6, 1.1334111889647378, 1.92865597494304, 3.062067163907778, 1.0961747718469965, 1.382781148571456, 2.4789559204184526, 0.020965323909979072, 0.22589285332571524, 0.2468581772356943, 0.01620381385215569, 0.2922468924552924, 0.3084507063074481, 0.00005121166624993133, 0.017480306970553975, 0.017531518636803908, 0.000016039008679776333, 0.009597288196317827, 0.009613327204997604, 2.3535186081513463e-8, 0.000465280077739423, 0.00046530361292550454, 5.141073828197724e-9, 0.0001830953663620394, 0.0001831005074358676, 3.741791688382333e-12, 0.000006783642811783213, 0.000006783646553574902
428.25, 1.1286368653681604, 1.9329816512266293, 3.06161851659479, 1.092394335470848, 1.391902825807665, 2.484297161278513, 0.020415929214055963, 0.22417223104670514, 0.2445881602607611, 0.015762343582693496, 0.2896862880024306, 0.30544863158512414, 0.00004886546319307138, 0.0171356472320175, 0.017184512695210572, 0.000015364700181490526, 0.009444924489849611, 0.009460289190031102, 2.2082832594467475e-8, 0.00045207218454518846, 0.00045209426737778294, 4.850273408069056e-9, 0.0001788705641225222, 0.00017887541439593025, 3.455128476513217e-12, 0.000006537500237105647, 0.000006537503692234123
429.9, 1.1237336824413817, 1.9373136061731406, 3.0610472886145224, 1.088461216938009, 1.4009813116405678, 2.489442528578577, 0.019876166145626456, 0.22241990752262605, 0.2422960736682525, 0.015334932146722918, 0.287197329998899, 0.30253226214562196, 0.00004661953610609629, 0.016795265141437334, 0.01684188467754343, 0.000014722375364914541, 0.009297321784592855, 0.00931204415995777, 2.0718430245900433e-8, 0.0004391918566790895, 0.0004392125751093354, 4.577349095271383e-9, 0.00017479303675518507, 0.00017479761410428034, 3.19037634062639e-12, 0.000006299822427978984, 0.000006299825618355325
431.55, 1.1186926229212202, 1.9416474239334938, 3.060340046854714, 1.0843672177645824, 1.4100130629533763, 2.4943802807179587, 0.01934581004083896, 0.22063611540151062, 0.2399819254423496, 0.01492099172661839, 0.2847791216618711, 0.29970011338848945, 0.00004446931434917048, 0.016459082931898242, 0.016503552246247413, 0.000014110313788057052, 0.00915436422404124, 0.009168474537829298, 1.9436446807670227e-8, 0.00042662948767227066, 0.0004266489241190783, 4.321109233144229e-9, 0.00017085785913569337, 0.00017086218024492652, 2.945814277890802e-12, 0.000006070288948191736, 0.0000060702918940060145
433.2, 1.1134900480653989, 1.945977818265217, 3.059467866330616, 1.080090008194354, 1.4189936008399957, 2.49908360903435, 0.018824175118914637, 0.21881854529040576, 0.23764272040932038, 0.014519906331098443, 0.2824335033690267, 0.2969534097001251, 0.00004240919372557186, 0.016126759933048445, 0.016169169126774015, 0.000013526912470351221, 0.009016073242680419, 0.00902960015515077, 1.823115531859233e-8, 0.00041436854803082653, 0.0004143867791861451, 4.080456902664294e-9, 0.0001670629713968352, 0.00016706705185373785, 2.7197768121436796e-12, 0.000005848488234597153, 0.000005848490954373965
434.85, 1.108097960590586, 1.9502985346274233, 3.0583964952180094, 1.0756029617556686, 1.42791749830755, 2.5035204600632186, 0.018310493299195745, 0.21696409089246194, 0.23527458419165767, 0.014131080243452198, 0.2801631137800247, 0.2942941940234769, 0.00004043366771134422, 0.01579789712675353, 0.015838330794464874, 0.000012970670044852823, 0.008882507267835049, 0.008895477937879901, 1.7097158134188923e-8, 0.0004023915003003143, 0.0004024085974584485, 3.854375908243923e-9, 0.00016340707794798505, 0.00016341093232389328, 2.5107305977201825e-12, 0.000005634006287873504, 0.000005634008798604102
